Type,From,To
Dependency,DDoS Mitigation Layer,Riot Direct Network
Dependency,Riot Direct Network,Global Load Balancer
Dependency,Riot Client Launcher,Riot Sign On (RSO)
Dependency,Riot Sign On (RSO),Player Profile Service
Dependency,Riot Sign On (RSO),Secret Management Service
Dependency,Vanguard Anti-Cheat Service,Valorant Client
Dependency,Vanguard Anti-Cheat Service,Anti-Cheat Telemetry
Dependency,Matchmaking Service NA,Party Service
Dependency,Matchmaking Service NA,Player Profile Service
Dependency,Matchmaking Service NA,Competitive Rank Service
Dependency,Matchmaking Service NA,Game Server Manager
Dependency,Matchmaking Service EU,Party Service
Dependency,Matchmaking Service EU,Player Profile Service
Dependency,Matchmaking Service EU,Competitive Rank Service
Dependency,Matchmaking Service EU,Game Server Manager
Dependency,Matchmaking Service AP,Party Service
Dependency,Matchmaking Service AP,Player Profile Service
Dependency,Matchmaking Service AP,Competitive Rank Service
Dependency,Matchmaking Service AP,Game Server Manager
Dependency,Party Service,Chat Service
Dependency,Party Service,Friends Service
Dependency,Party Service,Social Graph Service
Dependency,Game Server Manager,Game Server NA-1
Dependency,Game Server Manager,Game Server NA-2
Dependency,Game Server Manager,Game Server EU-1
Dependency,Game Server Manager,Game Server EU-2
Dependency,Game Server Manager,Game Server AP-1
Dependency,Game Server NA-1,Anti-Cheat Telemetry
Dependency,Game Server NA-2,Anti-Cheat Telemetry
Dependency,Game Server EU-1,Anti-Cheat Telemetry
Dependency,Game Server EU-2,Anti-Cheat Telemetry
Dependency,Game Server AP-1,Anti-Cheat Telemetry
Dependency,Game Server NA-1,Event Bus
Dependency,Game Server NA-2,Event Bus
Dependency,Game Server EU-1,Event Bus
Dependency,Game Server EU-2,Event Bus
Dependency,Game Server AP-1,Event Bus
Dependency,Global Load Balancer,Regional Load Balancer NA
Dependency,Global Load Balancer,Regional Load Balancer EU
Dependency,Global Load Balancer,Regional Load Balancer AP
Dependency,Regional Load Balancer NA,Matchmaking Service NA
Dependency,Regional Load Balancer NA,API Gateway
Dependency,Regional Load Balancer EU,Matchmaking Service EU
Dependency,Regional Load Balancer AP,Matchmaking Service AP
Dependency,API Gateway,Riot Sign On (RSO)
Dependency,API Gateway,Store Service
Dependency,API Gateway,Player Profile Service
Dependency,API Gateway,Social Graph Service
Dependency,Store Service,Inventory Service
Dependency,Store Service,Battle Pass Service
Dependency,Store Service,Player Profile Service
Dependency,Inventory Service,Player Profile Service
Dependency,Battle Pass Service,Player Profile Service
Dependency,Chat Service,Presence Service
Dependency,Chat Service,Notification Service
Dependency,Voice Service,Chat Service
Dependency,Friends Service,Presence Service
Dependency,Friends Service,Social Graph Service
Dependency,Social Graph Service,Player Profile Service
Dependency,Analytics Ingestion,Event Bus
Dependency,Player Telemetry Aggregator,Analytics Ingestion
Dependency,Monitoring & Alerting,Event Bus
Dependency,Configuration Service,Matchmaking Service NA
Dependency,Configuration Service,Matchmaking Service EU
Dependency,Configuration Service,Matchmaking Service AP
Dependency,Configuration Service,Game Server Manager
Dependency,Leaderboard Service,Competitive Rank Service
Dependency,Presence Service,Session Cache
