Type,From,To
Hosted-on,Voice Chat Service,AWS Compute Services
Hosted-on,Notification Service,AWS Compute Services
Hosted-on,Item Shop Service,AWS Compute Services
Hosted-on,Cosmetics Service,AWS Compute Services
Hosted-on,Payment Gateway,AWS Compute Services
Hosted-on,Anti-Cheat Service,AWS Compute Services
Hosted-on,Moderation Service,AWS Compute Services
Hosted-on,Player Report Service,AWS Compute Services
Hosted-on,Game Update Service,AWS Compute Services
Hosted-on,Analytics Pipeline,AWS Compute Services
Hosted-on,Config Service,AWS Compute Services
Hosted-on,Feature Flags,AWS Compute Services
Hosted-on,Event Bus,AWS Compute Services
Hosted-on,Log Aggregation,AWS Compute Services
Hosted-on,Challenge Service,AWS Compute Services
Hosted-on,Loadout Service,AWS Compute Services
Hosted-on,Leaderboard Service,AWS Compute Services
Hosted-on,Secret Management Service,AWS Compute Services
Hosted-on,Game Server NA,AWS GameLift
Hosted-on,Game Server EU,AWS GameLift
Hosted-on,Game Server AP,AWS GameLift
Hosted-on,Account Service,AWS DynamoDB Global
Hosted-on,Inventory Service,AWS DynamoDB Global
Hosted-on,Player Profile Service,AWS DynamoDB Global
Hosted-on,Progression Service,AWS DynamoDB Global
Hosted-on,Friends Service,AWS DynamoDB Global
Hosted-on,Player Stats Service,AWS Aurora Global
Hosted-on,Leaderboard Service,AWS Aurora Global
Hosted-on,Session Manager,AWS ElastiCache Cluster
Hosted-on,Presence Service,AWS ElastiCache Cluster
Hosted-on,Matchmaking Service,AWS ElastiCache Cluster
Hosted-on,Game State Service,AWS ElastiCache Cluster
Hosted-on,Game State Service,AWS Compute Services
Hosted-on,Asset Service,AWS S3 Storage
Hosted-on,Asset Service,AWS Compute Services
Hosted-on,Analytics Pipeline,AWS S3 Storage
Hosted-on,Game Update Service,AWS S3 Storage
Hosted-on,Telemetry Collector,AWS Kinesis Stream
Hosted-on,Analytics Pipeline,AWS Kinesis Stream
Hosted-on,Telemetry Collector,AWS Compute Services
Hosted-on,Notification Service,AWS EventBridge
Hosted-on,Event Bus,AWS EventBridge
Hosted-on,Log Aggregation,AWS CloudWatch
Hosted-on,Monitoring Service,AWS CloudWatch
Hosted-on,Monitoring Service,Datadog Enterprise
Hosted-on,Telemetry Collector,Datadog Enterprise
Hosted-on,Incident Alert Service,PagerDuty
Hosted-on,Monitoring Service,PagerDuty
Hosted-on,Payment Gateway,Stripe Payments
Hosted-on,Item Shop Service,Stripe Payments
